Pkg count,Package names,Imported name,Imported signature
11,"bcrypt, couchbase, hiredis, kerberos, leveldown, lwip, node-hid, nodegit, serialport, sqlite3, zmq",v8::String::WriteUtf8,"public: int __cdecl v8::String::WriteUtf8(char * __ptr64,int,int * __ptr64,int)const __ptr64"
11,"canvas, couchbase, ffi, fibers, kerberos, lame, leveldown, node-hid, node-sass, nodegit, protagonist",v8::TryCatch::~TryCatch,public: __cdecl v8::TryCatch::~TryCatch(void) __ptr64
11,"canvas, couchbase, ffi, fibers, kerberos, lame, leveldown, node-hid, node-sass, nodegit, protagonist",v8::TryCatch::HasCaught,public: bool __cdecl v8::TryCatch::HasCaught(void)const __ptr64
11,"canvas, couchbase, iconv, leveldown, libxmljs, lwip, midi, mmmagic, nodegit, ref, serialport",v8::Value::BooleanValue,public: bool __cdecl v8::Value::BooleanValue(void)const __ptr64
11,"canvas, couchbase, hiredis, kerberos, leveldown, libxmljs, node-sass, nodegit, protagonist, serialport, sqlite3",v8::Value::IsObject,public: bool __cdecl v8::Value::IsObject(void)const __ptr64
10,"bcrypt, bignum, bufferutil, deasync, fibers, images, node-hid, node-sass, ref, sqlite3",v8::FunctionTemplate::New,"public: static class v8::Local<class v8::FunctionTemplate> __cdecl v8::FunctionTemplate::New(class v8::Isolate * __ptr64,void (__cdecl*)(class v8::FunctionCallbackInfo<class v8::Value> const & __ptr64),class v8::Local<class v8::Value>,class v8::Local<class v8::Signature>,int)"
10,"bignum, canvas, couchbase, fibers, leveldown, libxmljs, midi, node-hid, nodegit, protagonist",v8::Object::Get,public: class v8::Local<class v8::Value> __cdecl v8::Object::Get(class v8::Local<class v8::Value>) __ptr64
10,"bcrypt, couchbase, lame, leveldown, libxmljs, mmmagic, node-sass, serialport, sqlite3, zmq",v8::Object::Set,"public: class v8::Maybe<bool> __cdecl v8::Object::Set(class v8::Local<class v8::Context>,unsigned int,class v8::Local<class v8::Value>) __ptr64"
10,"bcrypt, couchbase, hiredis, leveldown, mmmagic, node-hid, nodegit, serialport, sqlite3, zmq",v8::String::Length,public: int __cdecl v8::String::Length(void)const __ptr64
10,"bignum, canvas, images, leveldown, node-hid, node-sass, nodegit, ref, sqlite3, zmq",v8::Value::IsNumber,public: bool __cdecl v8::Value::IsNumber(void)const __ptr64
10,"canvas, couchbase, deasync, kerberos, libxmljs, lwip, nodegit, serialport, speaker, sqlite3",v8::Value::ToInt32,public: class v8::MaybeLocal<class v8::Int32> __cdecl v8::Value::ToInt32(class v8::Local<class v8::Context>)const __ptr64
9,"canvas, couchbase, ffi, kerberos, lame, leveldown, node-hid, node-sass, nodegit",v8::TryCatch::TryCatch,public: __cdecl v8::TryCatch::TryCatch(class v8::Isolate * __ptr64) __ptr64
9,"bcrypt, canvas, deasync, ffi, midi, node-sass, nodegit, ref, speaker",v8::Value::ToUint32,public: class v8::MaybeLocal<class v8::Uint32> __cdecl v8::Value::ToUint32(class v8::Local<class v8::Context>)const __ptr64
8,"canvas, couchbase, hiredis, kerberos, leveldown, lwip, node-sass, sqlite3",node::Buffer::Copy,"class v8::MaybeLocal<class v8::Object> __cdecl node::Buffer::Copy(class v8::Isolate * __ptr64,char const * __ptr64,unsigned __int64)"
